,title,link,author,date_added,content,topic,category,tags,source
0,Abdul Wahid Gubernur Riau Ke-4 Terjaring OTT KPK,https://www.detik.com/sumut/berita/d-8194839/abdul-wahid-gubernur-riau-ke-4-terjaring-ott-kpk,Raja Adil Siregar - detikSumut,2025-11-05 09:19:00,"Pekanbaru - Komisi Pemberantasan Korupsi menjaring Gubernur Abdul Wahid dalam operasi tangkap tangan (OTT). Rupanya Wahid adalah Gubernur Riau ke-4 terjaring OTT oleh KPK.Dalam catatan detikSumut, Gubernur Riau pertama yang terjaring OTT KPK adalah Saleh Djasit yang ditangkap tahun 2003 lalu. Politisi Golkar itu ditangkap terkait korupsi pengadaan 16 unit mobil damkar. Penyidik mengamankan Saleh Djasit dan divonis 4 tahun.Baca juga: Daftar 10 Orang yang Diamankan saat KPK OTT Gubernur Riau Gubernur kedua yang juga terjaring kasus korupsi oleh KPK yakni Rusli Zainal. Pria yang akrab disapa RZ itu terjerat 2 kasus sekaligus selama menjabat periode 2003-2013.Pertama soal pembangunan venue Pekan Olahraga Nasional (PON) XVIII Riau 2012. Kasus keduanya terkait Izin Usaha Pemanfaatan Hasil Hutan Kayu Tanaman (IUPHHK-HT) di Riau. Rusli menerima suap dan penyalahgunaan wewenang dalam perizinan kehutanan dan proyek pembangunan. RZ divonis 14 tahun penjara, kemudian diringankan menjadi 10 tahun setelah melalui Peninjauan Kembali (PK).Selanjutnya ada Gubernur Annas Maamun. Gubernur yang menang Pilkada di periode 2014-2019 itu terjaring OTT KPK terkait alih fungsi lahan/hutan. Mantan Bupati Rokan Hilir itu ditangkap bersama pengusaha sekaligus dosen di Universitas Riau, Gulat Medali Emas dan divonis 7 tahun hingga mendapat grasi Presiden pada tahun 2020 karena faktor usia.Terbaru, Gubernur Abdul Wahid yang baru menjabat 8 bulan kembali terjaring dalam OTT KPK. Mantan anggota DPR RI tersebut diamankan bersama sejumlah pejabat dari Dinas PUPR Riau.""Sudah empat kali Provinsi Riau ini ada dugaan tindak pidana korupsi atau korupsi yang kemudian ditangani oleh KPK,"" kata Jubir KPK Budi Prasetyo di gedung KPK, Kuningan dikutip dari detikNews, Selasa kemarin.Baca juga: KPK Sebut OTT Gubernur Riau Terkait Dugaan Pemerasan di Dinas PUPR Halaman 2 dari 2 Simak Video ""Video: Alasan KPK Baru Umumkan Gubernur Riau Tersangka Padahal Ditangkap Senin"" [Gambas:Video 20detik] (astj/astj) abdul wahid gubernur riau ott kpk korupsi operasi tangkap tangan hukum pejabat publik kasus korupsi politik detiksumut",politik,politik,"abdul wahid, gubernur riau, ott kpk, korupsi, operasi tangkap tangan, hukum, pejabat publik, kasus korupsi, politik, detiksumut, ",detikNews
1,"Ketua DPD RI: Saatnya Anak Muda Ubah Paradigma, Politik Tak Selalu Kotor",https://news.detik.com/berita/d-8192682/ketua-dpd-ri-saatnya-anak-muda-ubah-paradigma-politik-tak-selalu-kotor,Dwi Rahmawati - detikNews,2025-11-03 22:45:00,"Jakarta - Ketua DPD RI Sultan Bachtiar Najamudin membuka acara Malam Grand Final Pemilihan Duta DPD RI 2025. Sultan berharap lahirnya sosok-sosok anak muda dalam lingkungan politik mampu mengubah stigma buruk yang melekat saat ini.Malam Grand Final Duta DPD RI berlangsung di Balai Sudirman, Tebet, Jakarta Selatan, Senin (3/11/2025) malam. Sultan menyinggung kecenderungan anak-anak muda, terutama Gen Z yang cuek terhadap sistem politik di Tanah Air.""Teman-teman semua, saya lumayan sering setiap kesempatan ketemu anak muda ke kampus, ke daerah-daerah selalu menyampaikan bahwa sekarang ada kecenderungan anak-anak muda kita apalagi Gen Z agak cuek, nggak mau tahu tentang politik dan demokrasi,"" kata Sultan dalam sambutannya. Baca juga: Kepala BIN Herindra-Menpan RB Hadiri Malam Grand Final Duta DPD RISultan menyebutkan banyak stigma negatif dari perpolitikan Tanah Air yang melekat di pikiran anak muda. Mereka, menurut Sutan, menganggap politik itu riuh, memecah belah, hingga kadang-kadang kotor.""Saya selalu sampaikan, kami mengerti bahwa image anak-anak muda umumnya bahwa politik itu riuh, politik itu berisik, politik itu pecah belah, politik itu sesuatu yang kadang-kadang dirty atau kotor,"" ungkapnya. Sultan mengatakan pemikiran itu akan diubah ke depannya. Ia ingin anak muda tak lagi menganggap politik itu buruk, maka dari itu acara Duta Pemilihan DPD malam ini digelar melibatkan anak muda dari 38 provinsi di Indonesia.""Saya sampaikan kita akan shifting, kita akan mulai ubah paradigma mindset politik yang selama ini masuk kepada anak-anak muda bahwa politik itu buruk,"" ucapnya.Ia lantas menyampaikan konsep green democracy bahwa setiap anak muda harus melek terhadap politik. Sultan meyakini jika anak muda mengerti tentang politik dan demokrasi, RI memiliki harapan besar di masa depan.""Saya sampaikan ada konsep, ada tawaran, ada gagasan green demokrasi yang kami coba tawarkan agar anak anak Indonesia harus mengerti politik, harus mengerti demokrasi, karena dengan masyarakat yang makin banyak mengerti politik dan demokrasi, maka bangsa ini mempunyai harapan besar,"" ucapnya.Baca juga: Grand Final Duta DPD RI 2025 Dimulai, Perwakilan Anak Daerah Unjuk KemampuanSultan mengaku telah menyampaikan hal itu kepada Presiden Prabowo Subianto. Ia mendukung penuh program Asta Cita dan mengingatkan soal momentum yang tidak datang untuk kedua kalinya.""Kami sudah berkomitmen Bapak Ibu sekalian dengan Bapak Presiden kita, saya sampaikan 'Pak ini momentum besar untuk mempercepat, men-speed up semua program-program Asta Cita. Kami berada di depan, saya dan teman-teman semua berkomitmen untuk mendukung penuh program Asta Cita Bapak Presiden Prabowo,"" ujar Sultan.""Karena momentum tidak datang berkali-kali, mumpung kita ketemu momentumnya, kita percepat program, kita akselerasi, kami akan mengawasi sekaligus mengawal agar program-program yang baik itu betul-betul bisa dieksekusi dengan cepat bisa berhasil,"" imbuhnya. (dwr/dek) dpd ri sultan bachtiar najamudin anak muda politik",politik,politik,"dpd ri, sultan bachtiar najamudin, anak muda, politik, ",detikNews
2,Ketua DPD Dorong Pemuda Berpolitik Kedepankan Nilai Budaya & Jaga Reputasi,https://news.detik.com/berita/d-8177986/ketua-dpd-dorong-pemuda-berpolitik-kedepankan-nilai-budaya-jaga-reputasi,Hana Nushratu - detikNews,2025-10-25 16:32:00,"Jakarta - Ketua Dewan Perwakilan Daerah (DPD) RI Sultan Bachtiar Najamudin mendorong Pemuda Indonesia yang memiliki minat untuk mengabdi di bidang politik untuk mengedepankan nilai-nilai budaya bangsa. Ia juga mendorong mereka menjaga reputasi pribadi.""Selain harus memiliki kapasitas intelektual, wawasan kebangsaan dan berintegritas, pemuda Indonesia perlu berhati-hati dalam menjaga reputasi pribadi di era digital. Reputasi adalah hal yang istimewa dan sangat berharga terutama bagi aktivis sosial dan politik,"" ujar Sultan, dalam keterangan tertulis, Sabtu (25/10/2025).Hal ini disampaikan Sultan dalam forum Pemuda Parlemen di Gedung DPR RI Senayan, Jakarta, Jumat (24/10). Baca juga: Waka DPD Ajak Pemuda Parlemen Indonesia Wujudkan Demokrasi ProduktifDi tengah dunia yang bergerak cepat, diwarnai revolusi digital, krisis iklim, dan perubahan sosial yang dinamis, demokrasi tidak boleh berjalan sendiri tanpa melibatkan kekuatan terbesar bangsa. Kekuatan terbesar tersebut yaitu pemuda dan budaya bangsa sebagai benteng pertahanan moral. ""Dari tema yang diangkat, 'Pemuda Berkontribusi, Demokrasi Bertransformasi', merupakan cerminan keyakinan bahwa transformasi demokrasi tidak mungkin terjadi tanpa partisipasi aktif generasi muda yang berkebudayaan,"" tegas Mantan aktivis Komite Nasional Pemuda Indonesia (KNPI) Bengkulu tersebut.Sultan menaruh kepercayaan kepada generasi yang berani berpikir kritis, berjiwa inovatif, dan memiliki kepedulian terhadap masa depan bangsa, serta bumi ditinggali bersama sesuai nilai-nilai budaya daerah.Baca juga: Ketua DPD Minta Menkeu & Daerah Tak Berpolemik soal TKD Tersimpan di Bank""Generasi muda adalah kekuatan social movement yang jika disatukan akan mempengaruhi proses politik suatu bangsa. Oleh karena kekuatan sosial yang besar ini harus ditampung dan dikaderkan secara intensif agar dapat mendukung program pembangunan pemerintah,"" terang penulis buku Green Democracy itu.Dalam kesempatan tersebut, Sultan kembali mengajak Peserta Pemuda Parlemen 2025 untuk terus berkontribusi dalam membangun demokrasi Indonesia.""Demokrasi hijau yang pro growth, pro poor, pro youth, dan pro ecology. Itulah esensi Green Democracy yang kami gagas sesuai pengalaman kami sejak menjadi aktivis pemuda hingga dipercaya menjadi Ketua DPD RI,"" pungkasnya. Video Ketua DPD RI: 1 Tahun Prabowo-Gibran Tunjukkan Kepemimpinan Transformatif Video Ketua DPD RI: 1 Tahun Prabowo-Gibran Tunjukkan Kepemimpinan Transformatif (anl/ega) dpd ketua dpd pemuda politik partisipasi pemuda",politik,politik,"dpd, ketua dpd, pemuda, politik, partisipasi pemuda, ",detikNews
3,2 Komisioner KPU Majalengka Disanksi Peringatan Keras oleh DKPP,https://www.detik.com/jabar/berita/d-8175939/2-komisioner-kpu-majalengka-disanksi-peringatan-keras-oleh-dkpp,Rifat Alhamidi - detikJabar,2025-10-24 10:10:00,"Bandung - Dewan Kehormatan Penyelanggara Pemilu (DKPP) menjatuhkan sanksi peringatan keras terakhir kepada dua komisioner KPU Majalengka, Teguh Fajar Putra Utama dan Andhi Insan Sidieq. Keduanya dinyatakan terbukti melakukan pelanggaran kode etik dalam kasus dugaan pergeseran suara caleg DPR RI dapil Jabar IX yang mencakup wilayah Sumedang, Majalengka dan Subang.Sanksi peringatan keras terakhir itu telah dibacakan DKPP pada Selasa (21/10/2025). Bertindak selaku ketua majelis persidangan Heddy Lugito dengan anggota J Kristiadi, Ratna Dewi Pettalolo, I Dewa Kade Wiarsa Raka Sandi dan Muhammad Tio Aliansyah.Baca juga: Emak-emak Niat Kencan dengan Pria Milenial, Akhirnya Malah Sial""Menjatuhkan Sanksi Peringatan Keras Terakhir kepada Teradu XIII Teguh Fajar Putra Utama selaku Ketua merangkap Anggota KPU Kabupaten Majalengka dan Teradu XV Andhi Insan Sidieq selaku Anggota KPU Kabupaten Majalengka terhitung sejak Putusan ini dibacakan,"" demikian bunyi putusan sanksi tersebut sebagaimana dilihat detikJabar, Jumat (24/10/2025).Kasus ini bermula dari aduan mantan caleg DPR RI dari Partai NasDem bernama Eep Hidayat. Dia mengadukan telah mengalami kehilangan suara yang signifikan di dapil Jabar IX, terutama di wilayah Sumedang dan Majalengka yang diduga bergeser ke koleganya di Partai NasDem.Kemudian, dalam dalil aduannya, Eep Hidayat menuding KPU Majalengka dan KPU Jabar ditengarai telah melakukan kecurangan atas puluhan ribu suaranya yang telah hilang. Salah satu faktor yang ia soroti adalah tindakan take down atau dihapusnya siaran langsung di YouTube KPU Jabar saat proses penghitungan suara caleg DPR RI pada 20 Maret 2024 silam.Eep Hidayat pun total mengadukan 22 pihak dalam perkara ini. Lima komisioner KPU Jabar, 7 komisioner Bawaslu Jabar, 5 komisioner KPU Kabupaten Majalengka dan 5 komisioner Bawaslu Majalengka.Menariknya, perkara ini masih berkaitan dengan kasus pencopotan Ummi Wahyuni saat itu sebagai Ketua KPU Jabar. Ummi saat itu dinyatakan bersalah melanggar kode etik penyelenggaraan pemilu (KEPP).Setelah aduan Eep Hidayat bergulir, DKPP menjatuhkan sanksi peringatan keras terakhir kepada dua komisioner KPU Majalengka, Teguh Fajar Putra Utama dan Andhi Insan Sidieq. Sementara, 20 pihak lainnya disanksi peringatan oleh DKPP.Adapun 20 komisioner yang diberi sanksi peringatan yakni Ahmad Nur Hidayat, Hari Nazarudin, Abdullah Sapi'i, dan Aneu Nursifah (KPU Jabar). Lalu Zacky Muhammad Zamzam, Harminus Koto, Fereddy, Nuryamah, Usep Agus Zawari, Muamarullah, dan Syaiful Bachri dari Bawaslu Jabar.Selanjutnya Elih Solehah Fatimah, Deden Syaripudin dan Nia Nazmiatun (KPU Majalengka). Serta Dede Rosada, Fauzi Akbar Rudiansyah, Edi Sabara, Ayub Fahmi, dan Nunu Nugraha selaku komisioner Bawaslu Majalengka. Baca juga: Cetak Gol untuk Kemenangan Persib, Adam Alis: Tidak Penting""Memerintahkan Komisi Pemilihan Umum untuk melaksanakan putusan ini sepanjang terhadap Teradu I, Teradu II, Teradu III, Teradu IV, Teradu V, Teradu XIII, Teradu XIV, Teradu XV, Teradu XVI, dan Teradu XVII paling lama 7 (tujuh) hari sejak Putusan ini dibacakan,"" kata DKPP.""Memerintahkan Badan Pengawas Pemilihan Umum untuk melaksanakan putusan ini sepanjang terhadap Teradu VI, Teradu VII, Teradu VIII, Teradu IX, Teradu X, Teradu XI, Teradu XII, Teradu XVIII, Teradu XIX, Teradu XX, Teradu XXI dan Teradu XXII paling lama 7 (tujuh) hari sejak Putusan ini dibacakan; dan Memerintahkan Badan Pengawas Pemilihan Umum untuk mengawasi pelaksanaan Putusan ini,"" pungkasnya. (ral/orb) berita jabar politik dkpp kpu majalengka pemilu majalengka kpu jabar",politik,politik,"berita jabar, politik, dkpp, kpu majalengka, pemilu, majalengka, kpu jabar, ",detikNews
4,"Fraksi Golkar Ajukan PAW, Ketua DPRD Bengkulu Sampaikan Sanggahan",https://www.detik.com/sumbagsel/berita/d-8174914/fraksi-golkar-ajukan-paw-ketua-dprd-bengkulu-sampaikan-sanggahan,Hery Supandi - detikSumbagsel,2025-10-23 22:00:00,"Bengkulu - Fraksi Partai Golkar DPRD Provinsi Bengkulu mengajukan pergantian antar waktu (PAW) terhadap pimpinan dewan Sumardi. Surat PAW terhadap Ketua DPRD Bengkulu itu telah disampaikan ke DPP Partai Golkar.Ketua DPD Partai Golkar Provinsi Bengkulu Syamsurachman membenarkan adanya surat pengajuan PAW yang telah disampaikan melalui mekanisme partai. Dia menilai langkah tersebut merupakan bagian dari dinamika organisasi.""Iya, memang benar sudah ada surat usulan itu sejak sebelum Musda. Ini hal yang biasa, bisa dikatakan sebagai bentuk penyegaran dan menjadi kebijakan partai melalui fraksi di DPRD,"" ujar Syamsurachman, Kamis (21/10/2025). Baca juga: Kadisperindag Kota Bengkulu Jadi Tersangka Kasus Korupsi Jual Beli AsetKetua DPRD Provinsi Bengkulu Sumardi mengatakan akan mengajukan sanggahan. Dia menyebut selama ini telah loyal dan patuh terhadap partai. Sumardi mengakui telah menerima surat pengajuan tersebut, namun dia menegaskan tidak akan tinggal diam. Ia berencana menggugat dan meminta Ketua Umum DPP Partai Golkar untuk membatalkan rekomendasi tersebut.""Benar, memang ada surat masuk. Tapi, pasti saya sanggah dan akan menggugat agar ketum membatalkan rekomendasi itu. Saya tidak pernah mendapat teguran, baik SP 1, SP 2, maupun SP 3. Loyalitas dan dedikasi saya terhadap partai selalu saya jaga,"" kata Sumardi saat dikonfirmasi, Kamis (23/10/2025).Sumardi juga menegaskan tidak pernah melakukan pelanggaran terhadap AD/ART maupun kode etik partai. Karena itu, dia mempertanyakan dasar hukum dan alasan politik di balik usulan PAW tersebut.""Saya justru ingin tahu, apa dasar pengajuan itu. Karena selama ini saya menjalankan amanah partai dengan baik dan penuh tanggung jawab,"" imbuhnya.Baca juga: Paman di Bengkulu Setubuhi Keponakan Berusia 6 Tahun, Kepergok Ibu Korban Video Viral ASN di Bengkulu Injak Al-Qur'an Berujung Minta Maaf Video Viral ASN di Bengkulu Injak Al-Qur'an Berujung Minta Maaf (rep/rep) fraksi golkar paw dprd ketua dprd bengkulu dpp partai golkar kode etik partai bengkulu politik",politik,politik,"fraksi golkar, paw dprd, ketua dprd bengkulu, dpp partai golkar, kode etik partai, bengkulu, politik, ",detikNews
5,"Kantor DPD Golkar Maluku Diserang saat Pengurus Rapat, Pintu-Jendela Rusak",https://www.detik.com/sumut/berita/d-8153687/kantor-dpd-golkar-maluku-diserang-saat-pengurus-rapat-pintu-jendela-rusak,Tim detikSulsel - detikSumut,2025-10-09 23:00:00,"Ambon - Kantor DPD Golkar Maluku di Kota Ambon diserang sekelompok massa saat para pengurus sedang menggelar rapat internal. Aksi tersebut menyebabkan sejumlah fasilitas kantor mengalami kerusakan, termasuk jendela kaca dan pintu.""Telah terjadi perusakan pada kantor DPD Golkar Maluku,"" ujar Kasat Reskrim Polresta Pulau Ambon, Kompol Androyuan Elim, dilansir detikSulsel, Kamis (9/10/2025).Peristiwa itu terjadi pada Kamis (9/10) sekitar pukul 15.10 WIT. Sekitar 30 orang datang menyerang kantor tersebut, dipimpin oleh seorang pria berinisial ZM. ""Massa dibawa menggunakan tiga mobil Avanza dan beberapa motor yang dipimpin pria berinisial ZM,"" jelas Androyuan.Menurut keterangan polisi, massa awalnya datang untuk menemui Plt Ketua DPD Golkar Maluku, Umar Ali Lessy. Namun, salah satu pengurus, RM, memberitahu bahwa Umar sedang berada di Jakarta. ""RM lalu mempersilahkan beberapa perwakilan dari massa itu untuk berdiskusi di ruang rapat karena ketua lagi di Jakarta,"" ungkapnya.Penjelasan tersebut justru memicu amarah massa. Mereka kemudian membanting kursi, merusak pintu, dan melempar kursi ke arah jendela hingga kaca pecah.""Mereka (massa) melempar kursi ke bagian kaca dan jendela bagian depan kantor DPD Golkar. Setelah melakukan perusakan, massa meninggalkan kantor,"" kata Androyuan.Ia menambahkan, motif di balik aksi perusakan tersebut masih dalam proses penyelidikan. Pengurus DPD Golkar Maluku telah melaporkan kejadian itu ke SPKT Polda Maluku.""Sudah dilaporkan oleh pengurus partai ke Polda Maluku, tadi kita (pihak Polresta Pulau Ambon) hanya melakukan pengamanan tempat kejadian perkara untuk kebutuhan penyelidikan,"" imbuhnya.Baca juga: Kantor Golkar Maluku Diserang Massa, Kaca Jendela Pecah-Pintu Rusak Video: Kronologi Polres Jaktim Diserang Massa Perusuh Video: Kronologi Polres Jaktim Diserang Massa Perusuh (nkmkm) serangan massa kantor dpd golkar perusakan polda maluku ambon keamanan politik kerusuhan fasilitas umum",politik,politik,"serangan massa, kantor dpd golkar, perusakan, polda maluku, ambon, keamanan, politik, kerusuhan, fasilitas umum, ",detikNews
6,"Jokowi Kumpul dengan Elite PSI di Bali, Beri Instruksi Ini",https://news.detik.com/berita/d-8143967/jokowi-kumpul-dengan-elite-psi-di-bali-beri-instruksi-ini,Dwi Rahmawati - detikNews,2025-10-03 19:24:00,"Jakarta - Presiden RI ke-7 Joko Widodo (Jokowi) baru-baru ini terlihat melakukan pertemuan dengan sejumlah kader Partai Solidaritas Indonesia (PSI). Juru bicara PSI, Cheryl Tanzil, mengungkap pertemuan antara kader PSI dan Jokowi yang berlangsung di Bali.Adapun video kebersamaan Jokowi dengan elite PSI beredar di media sosial, dilihat Jumat (3/10/2025). Jokowi tampak berdiri di tengah sebuah forum seperti sedang menyampaikan arahan.Tampak di sana elite PSI, seperti Menteri Kehutanan Raja Juli, Waketum PSI Andy Budiman mendengarkan pernyataan Presiden RI ke-7 itu dengan saksama. Mayoritas kader PSI mengenakan pakaian tradisional seperti kebaya hingga batik. Baca juga: Istri Ahmad Ali PSI Jadi Ketua DPW NasDem SultengTampak pula Ketua Umum PSI Kaesang Pangarep di sana mengenakan setelan jas. Duduk juga di samping kanan dan kiri Jokowi, Grace Natalie, dan Ahmad Ali.""Di Kopi Klotok Bali. Instruksinya: dengarkan suara rakyat,"" kata Cheryl Tanzil dihubungi, Jumat (3/10/3025). Cheryl menjawab pertanyaan soal arahan Jokowi kepada kader PSI. Cheryl mengatakan pertemuan itu berlangsung baru-baru ini. Ia lantas menjawab peluang Jokowi yang digadang-gadang bakal menjadi ketua dewan pembina partai.""Kita tunggu bersama ya. Tapi memang di Rakor PSI, Pak Jokowi bilang bahwa beliau bersama PSI,"" ungkap Cheryl.Kendati demikian, Cheryl tak menjabarkan posisi Jokowi saat ini di partai. Ia menegaskan Jokowi adalah sosok negarawan yang dibutuhkan oleh PSI.""Sebagai partai yang tergolong baru kita sangat membutuhkan masukan dari seorang negarawan sekelas Pak Jokowi,"" imbuhnya.Baca juga: Bestari Barus Cerita Andil Jokowi di Balik Keputusan Gabung PSISimak juga Video 'Bapak 'J' di Kepengurusan PSI 2025-2030':[Gambas:Video 20detik] (dwr/lir) psi jokowi bali kader psi cheryl tanzil politik",politik,politik,"psi, jokowi, bali, kader psi, cheryl tanzil, politik, ",detikNews
7,Cerita Marshel Kapok Terjun Politik Tanpa Izin Istri,https://www.detik.com/sumut/berita/d-8132645/cerita-marshel-kapok-terjun-politik-tanpa-izin-istri,Desi Puspasari - detikSumut,2025-09-26 23:20:00,"Jakarta - Marshel Widianto mengaku kapok terjun ke dunia politik. Komedian berusia 29 tahun itu menegaskan tidak akan menerima tawaran lagi bila diminta kembali masuk ke ranah politik.""Takut aja jalan-jalan di Mampang gak pakai sandal,"" seloroh Marshel Widianto saat hadir di program Rumpi: No Secret Trans TV, kemarin dilansir detikHot.Ia menyadari kini dirinya tidak bisa hanya mementingkan kepentingan pribadi, melainkan harus mengutamakan keluarga. ""Karena saya sudah mulai memikirkan bahwa saya sudah gak sendiri lagi, sudah ada keluarga, istri, anak,"" tuturnya.Marshel juga menyinggung dampak media sosial yang bisa berlangsung lama dan berpotensi dirasakan anaknya di masa depan. ""Dari semua yang saya jalani kan social media itu bisa sampai kapanpun, anak saya gede takutnya banyak pasti tuh, mudah-mudahan gak sih ya. Ya... yang hate speech atau mungkin yang bully dia,"" sambung Marshel Widianto.Bintang film Laundry Show itu mengakui, saat terjun ke politik dulu, ia tidak meminta izin kepada istrinya, Cesen. Bahkan Cesen menegaskan bahwa dirinya tidak akan pernah mengizinkan jika Marshel berniat meminta restu.""Jujur gak (minta izin). Kita kan lebih baik minta maaf ketimbang minta izin. Tiba-tiba ada billboard aja,"" jawab Marshel.Cesen yang juga hadir dalam acara itu juga mengaku terkejut ketika mendapati foto Marshel di sebuah billboard.""Aku juga kaget. Jadi billboard itu di pasang di samping rumah sakit biasa anak-anak aku vaksin. Udah selesai (vaksin), 'Bu ada Bapak'. 'Dimana?'. 'Itu (billboard)'. Hah itu siapa? Aku fotoin ini maksudnya apa ya? Kenapa gini-gini? (Marshel) hehehe iya... dia cuma gitu. Cowok kalau ketahuan, 'Maafin Sayang',"" beber Cesen.Lebih lanjut, Marshel menyampaikan kini ia bisa lebih bijak dalam menentukan langkah. Menurut Cesen, anak-anak mereka bahkan sempat mengalami hal-hal yang tidak wajar ketika Marshel terlibat politik.""Waktu dia masuk politik waktu itu anak ngerasain yang gak biasa di rumah. Nangis terus dan itu selalu di jam yang sama jam 1-3 malam, selalu,"" ucap Cesen.Namun setelah Marshel memutuskan mundur, kejadian tersebut hilang.""Ilang total, soalnya bukan kayak nangis yang wajar,"" kata Cesen.Marshel pun menutup ceritanya dengan seloroh khasnya.""Selalu tuh di jam 1 sampai jam 3 pagi nangis mereka berdua dan merem, teriak gitu. Akhirnya, saya mundur ilang semua. Eh saya yang nangis dari jam 1 sampai jam 4,"" ujar Marshel dengan candaan.Baca juga: Marshel Widianto Kapok Gak Izin Cesen Terjun ke Politik Friday Film Review: Keluarga Super Irit Friday Film Review: Keluarga Super Irit (nkmkm) keluarga marshel widianto izin istri komedian politik media sosial dampak politik",politik,politik,"keluarga, marshel widianto, izin istri, komedian, politik, media sosial, dampak politik, ",detikNews
8,"3 Nama Caketum PPP Mencuat: Mardiono, Agus Suparmanto, Husnan Bey Fananie",https://news.detik.com/berita/d-8132279/3-nama-caketum-ppp-mencuat-mardiono-agus-suparmanto-husnan-bey-fananie,Anggi Muliawati - detikNews,2025-09-26 18:35:00,"Jakarta - PPP akan menggelar Muktamar X mulai besok. Juru Bicara PPP Usman Tokan mengatakan ada tiga nama yang mencuat sebagai calon Ketua Umum PPP.""Yang udah mengerucut, timnya sudah pada datang dari daerah, itu Pak Mardiono, yang siap maju karena didukung deklarasi 33 DPW ya. Terus kemudian yang kedua, Agus Suparmanto, lalu timnya sudah ada di Jakarta sebagian,"" kata Usman kepada wartawan, Senin (26/9/2025).""Lalu, Husnan Bey Fananie. Husnan Bey Fananie ini kemarin deklarasi tapi nggak ada pergerakan, jadi nggak kelihatan ini,"" sambungnya. Baca juga: PPP Undang Prabowo-Gibran ke Muktamar XDia mengatakan dua nama calon ketum merupakan tokoh internal. Di antaranya Mardiono selaku Plt Ketum PPP dan Husnan yang pernah menjadi Wasekjen PPP. Sementara itu, katanya, Agus Suparmanto yang merupakan mantan Menteri Perdagangan berasal dari eksternal. Dia mengatakan Muktamar X ini merupakan pertarungan internal dan eksternal.""Ini kan pertarungan ini kan antara internal ada eksternal, ada eksternal ini, yang dukung, yang menggerakkan juga orang internal. Jadi kita berharap, muktamar ini semua dihadapi oleh seluruh pimpinan pusat, wilayah, dan cabang ini, dengan rasa sukacita gitu,"" ujarnya.Dia berharap Muktamar PPP pada 27-29 September di Ancol, Jakarta Utara, berlangsung tanpa kegaduhan. Dia mengingatkan seluruh kader PPP adalah saudara.""Kita semua adalah saudara, jangan sampai ada pertentangan yang mengarah kepada hal-hal yang tidak diinginkan bersama. Jangan sampai ada hal-hal yang melawan hukum hukum begitu ya,"" ujarnya.Baca juga: PPP Kalimantan Selatan Alihkan Dukungan, Kini Solid ke Muhamad MardionoLihat juga Video: Mau Dibawa ke Mana Partai Ka'bah?[Gambas:Video 20detik] (amw/lir) ppp muktamar ppp caketum ppp politik",politik,politik,"ppp, muktamar ppp, caketum ppp, politik, ",detikNews
9,Venna Melinda Ungkap Penyebab Verrel Kurus: Kepikiran Situasi Politik,https://www.detik.com/sumut/berita/d-8109969/venna-melinda-ungkap-penyebab-verrel-kurus-kepikiran-situasi-politik,Muhammad Ahsan Nurrijal - detikSumut,2025-09-13 11:01:00,"Jakarta - Venna Melinda menyebut Verrel Bramasta mengalami penurunan berat badan hingga membuat anaknnya menjadi lebih kurus. Hal itu terjadi karena anaknya terlalu banyak pikiran melihat situasi politik dalam negeri.""Mas Verrell agak kurus ya, kemarin aku lihat dia agak tirus,"" kata Venna dikutip detikHot, Sabtu (13/9/2025).Venna Melinda sudah menasihati Verrell Bramasta agar menjaga kesehatan. Menurutnya, kesibukan kerja tidak boleh menjadi alasan untuk melupakan pola makan yang teratur. ""Aku bilang, 'kamu jangan sampai sakit atau kurang makan'. Jangan lupa makan, karena kalau kerja gitu kan mikir tuh, jadi kamu harus oke olahraga tapi makan juga nggak boleh telat, karena kan bahaya. Dia agak kurus sih, kemarin,"" tutur Venna Melinda.Baca juga: Cerita Verrell Bramasta Ngumpet di Toilet Singapura saat Dikerubungi Fans Ia juga menyinggung soal tekanan yang dialami Verrell Bramasta setelah resmi menjadi anggota DPR. Venna Melinda menilai, putranya masih perlu beradaptasi dengan situasi baru di dunia politik.""Dia cuma bilang dia kepikiran karena kan mungkin karier, situasi politik kan. Tapi aku yakin Mas Verrell pasti bisa menyesuaikan,"" terang Venna Melinda.Lebih lanjut, mantan istri Ivan Fadilla itu menilai, wajar jika Verrell Bramasta sempat merasa kaget dengan dinamika dunia politik. Apalagi, menurutnya, usia putranya masih relatif muda ketika dilantik menjadi anggota DPR.""Mungkin dia agak syok ya, karena berpolitik itu kan dinamikanya luar biasa. Sementara dia usianya kan masih 28 ya waktu jadi anggota DPR. Itu muda sekali,"" jelas Venna Melinda.Ia berpesan agar Verrell Bramasta bisa lebih bijak dalam membagi waktu, termasuk menjaga kesehatan di tengah kesibukan politiknya.""Politik dibuat itu sebagai profesi yang menyenangkan. Jadi kamu harus ngukur sendiri kapan makan, kapan istirahat, kapan kerja, ya diatur pokoknya,"" pungkasnya.Baca juga: Pujian Venna Melinda untuk Fuji Video: Wejangan Venna Melinda ke Verrell Bramasta soal Kerja di Dunia Politik Video: Wejangan Venna Melinda ke Verrell Bramasta soal Kerja di Dunia Politik (astj/astj) venna melinda verrell bramasta kesehatan penurunan berat badan anggota dpr stres pola makan adaptasi dinamika politik politik",politik,politik,"venna melinda, verrell bramasta, kesehatan, penurunan berat badan, anggota dpr, stres, pola makan, adaptasi, dinamika politik, politik, ",detikNews
